																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
909.000000	1.000000	0.002538	7373937.517666	-45589.072720	1055.818235	-29771.884676	0.000000	0.000000	6.002819	0.008237	NaN	0.000000	0.001622	0.001754	28.083031	0.059293	0.001003	59.113719	-166.938988	-170.264424	-0.023714	0.001303	-1.057550	-1.058785	0.008237	59.113719	-1.057654	-1.352995E+14	-6.088191E-17	NaN
909.000000	1.000000	0.004492	7373937.527666	-45589.073046	1055.817281	-29771.884941	0.000000	0.000000	6.004771	-0.070721	NaN	0.000000	0.001609	0.001741	28.082925	0.114768	0.000888	129.229014	175.014724	8.664257	0.062590	0.003182	-1.055595	-1.056905	-0.070721	129.229014	-1.055185	-1.253440E+14	5.642131E-16	NaN
909.000000	1.000000	0.006501	7373937.537666	-45589.073599	1055.817002	-29771.884302	0.000000	0.000000	6.006778	-0.112800	NaN	0.000000	0.001620	0.001742	28.082703	0.079596	0.000967	82.331907	38.941707	-170.249814	-0.107958	0.005181	-1.053586	-1.054906	-0.112800	82.331907	-1.052559	-1.155601E+14	9.761182E-16	NaN
909.000000	1.000000	0.008489	7373937.547666	-45589.073252	1055.817129	-29771.884002	0.000000	0.000000	6.008765	-0.125452	NaN	0.000000	0.001641	0.001765	28.082652	0.093035	0.001047	88.844464	21.732520	17.429305	-0.111194	0.007189	-1.051598	-1.052899	-0.125452	88.844464	-1.050539	-1.085579E+14	1.155621E-15	NaN
909.000000	1.000000	0.010482	7373937.557666	-45589.073001	1055.818379	-29771.884000	0.000000	0.000000	6.010759	-0.100254	NaN	0.000000	0.001622	0.001802	28.082715	0.038491	0.001032	37.287003	-14.073145	-163.838345	-0.123438	0.009134	-1.049605	-1.050954	-0.100254	37.287003	-1.047588	-9.908188E+13	1.011833E-15	NaN
909.000000	1.000000	0.012596	7373937.567666	-45589.072936	1055.818275	-29771.884048	0.000000	0.000000	6.012873	-0.097506	NaN	0.000000	0.001634	0.001783	28.082618	0.015388	0.001184	12.998848	139.124241	22.638471	-0.060855	0.011188	-1.047491	-1.048899	-0.097506	12.998848	-1.041865	-8.299491E+13	1.174841E-15	NaN
909.000000	1.000000	0.014526	7373937.577666	-45589.072343	1055.818057	-29771.884626	0.000000	0.000000	6.014802	-0.116683	NaN	0.000000	0.001634	0.001752	28.082831	0.102907	0.001776	57.946859	-104.164815	-161.722859	-0.095313	0.013349	-1.045561	-1.046738	-0.116683	57.946859	-1.044051	-8.880557E+13	1.313913E-15	NaN
909.000000	1.000000	0.016483	7373937.587666	-45589.072649	1055.818642	-29771.884324	0.000000	0.000000	6.016765	0.011701	NaN	0.000000	0.001634	0.001759	28.082737	0.046063	0.001788	25.767408	25.369614	16.240668	-0.098487	0.015154	-1.043604	-1.044933	0.011701	25.767408	-1.043945	-8.851346E+13	-1.321949E-16	NaN
909.000000	1.000000	0.018488	7373937.597666	-45589.072254	1055.818300	-29771.884003	0.000000	0.000000	6.018769	-0.003153	NaN	0.000000	0.001644	0.001760	28.082638	0.131102	0.001835	71.459367	169.824584	-170.052424	0.075608	0.017191	-1.041600	-1.042896	-0.003153	71.459367	-1.041566	-8.223010E+13	3.834633E-17	NaN
