																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
778.000000	1.000000	0.002364	7372664.027666	-39039.073521	1055.819000	-29795.388676	0.000000	0.000000	6.002801	-0.005314	NaN	0.000000	0.001606	0.001737	28.079938	0.054120	0.000979	55.263587	43.017780	-167.341606	-0.050386	0.001134	-1.022027	-1.023257	-0.005314	55.263587	-1.021955	-4.479782E+13	1.186299E-16	NaN
778.000000	1.000000	0.004325	7372664.037666	-39039.072617	1055.818889	-29795.388997	0.000000	0.000000	6.004765	0.056997	NaN	0.000000	0.001620	0.001724	28.079767	0.060743	0.001014	59.927306	141.850374	23.837671	0.075225	0.003011	-1.020067	-1.021380	0.056997	59.927306	-1.020780	-4.319633E+13	-1.319491E-15	NaN
778.000000	1.000000	0.006327	7372664.047666	-39039.072670	1055.817652	-29795.389000	0.000000	0.000000	6.006764	0.003195	NaN	0.000000	0.001634	0.001728	28.079802	0.106104	0.000993	106.833295	-118.495779	-159.403205	0.048250	0.004997	-1.018065	-1.019394	0.003195	106.833295	-1.018087	-3.973871E+13	-8.038969E-17	NaN
778.000000	1.000000	0.008317	7372664.057666	-39039.072356	1055.817678	-29795.389000	0.000000	0.000000	6.008753	-0.028048	NaN	0.000000	0.001613	0.001734	28.079886	0.005259	0.001024	5.137841	-121.474057	15.234132	-0.020458	0.006984	-1.016074	-1.017408	-0.028048	5.137841	-1.011980	-3.288746E+13	8.528551E-16	NaN
778.000000	1.000000	0.010298	7372664.067666	-39039.072741	1055.818052	-29795.389000	0.000000	0.000000	6.010734	-0.028191	NaN	0.000000	0.001628	0.001736	28.079958	0.065565	0.001066	61.506176	-22.495259	-162.428900	-0.000329	0.008981	-1.014094	-1.015411	-0.028191	61.506176	-1.013750	-3.474152E+13	8.114492E-16	NaN
778.000000	1.000000	0.012439	7372664.077666	-39039.073590	1055.818650	-29795.389041	0.000000	0.000000	6.012878	0.042227	NaN	0.000000	0.001613	0.001694	28.080028	0.069680	0.001207	57.723528	141.204661	18.108562	-0.045668	0.010958	-1.011953	-1.013433	0.042227	57.723528	-1.012501	-3.342306E+13	-1.263397E-15	NaN
778.000000	1.000000	0.014350	7372664.087666	-39039.073298	1055.818324	-29795.389607	0.000000	0.000000	6.014791	0.084528	NaN	0.000000	0.001636	0.001685	28.080142	0.013685	0.001533	8.926055	27.294885	-158.889716	0.092168	0.013198	-1.010041	-1.011194	0.084528	8.926055	-1.017144	-3.859397E+13	-2.190178E-15	NaN
778.000000	1.000000	0.016337	7372664.097666	-39039.073058	1055.818051	-29795.389389	0.000000	0.000000	6.016775	0.020918	NaN	0.000000	0.001631	0.001710	28.079724	0.064058	0.001544	41.480923	155.317265	21.953136	0.084635	0.014961	-1.008055	-1.009431	0.020918	41.480923	-1.008433	-2.946377E+13	-7.099455E-16	NaN
778.000000	1.000000	0.018296	7372664.107666	-39039.073698	1055.818673	-29795.389604	0.000000	0.000000	6.018734	0.014217	NaN	0.000000	0.001645	0.001739	28.079929	0.062762	0.001679	37.371009	96.052679	-158.933860	-0.051357	0.017016	-1.006096	-1.007375	0.014217	37.371009	-1.006381	-2.764839E+13	-5.142237E-16	NaN
778.000000	1.000000	0.020302	7372664.117666	-39039.073950	1055.818956	-29795.389378	0.000000	0.000000	6.020742	0.064662	NaN	0.000000	0.001642	0.001708	28.079917	0.063576	0.001658	38.350325	63.466045	16.062388	0.043081	0.018948	-1.004090	-1.005444	0.064662	38.350325	-1.005354	-2.678255E+13	-2.414338E-15	NaN
