																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
462.000000	1.000000	0.002496	7369576.057666	-53989.073588	1005.818036	-29744.819000	0.000000	0.000000	6.002765	-0.029956	NaN	0.000000	0.001515	0.001760	28.081451	0.072835	0.001046	69.604220	62.576937	-162.002933	0.039899	0.001238	-1.067465	-1.068722	-0.029956	69.604220	-1.067142	-1.814634E+14	1.650796E-16	NaN
462.000000	1.000000	0.004519	7369576.067666	-53989.073373	1005.818567	-29744.819024	0.000000	0.000000	6.004789	-0.005635	NaN	0.000000	0.001549	0.001757	28.081733	0.111684	0.000914	122.258537	92.554313	19.696953	-0.063061	0.003166	-1.065441	-1.066794	-0.005635	122.258537	-1.065406	-1.719773E+14	3.276830E-17	NaN
462.000000	1.000000	0.006499	7369576.077666	-53989.073029	1005.818432	-29744.819568	0.000000	0.000000	6.006770	0.022200	NaN	0.000000	0.001558	0.001766	28.081805	0.035092	0.001007	34.863577	144.965081	-168.821110	0.010062	0.005211	-1.063461	-1.064749	0.022200	34.863577	-1.063939	-1.643430E+14	-1.350806E-16	NaN
462.000000	1.000000	0.008473	7369576.087666	-53989.073540	1005.818605	-29744.819991	0.000000	0.000000	6.008744	0.021614	NaN	0.000000	0.001535	0.001772	28.081495	0.038682	0.000955	40.512213	118.635456	12.630516	-0.000288	0.007159	-1.061487	-1.062801	0.021614	40.512213	-1.061887	-1.542347E+14	-1.401340E-16	NaN
462.000000	1.000000	0.010498	7369576.097666	-53989.073396	1005.818426	-29744.820000	0.000000	0.000000	6.010769	0.026541	NaN	0.000000	0.001550	0.001737	28.081438	0.064621	0.001021	63.296536	-64.795284	-167.454798	-0.031789	0.009149	-1.059462	-1.060812	0.026541	63.296536	-1.059777	-1.444839E+14	-1.836918E-16	NaN
462.000000	1.000000	0.012603	7369576.107666	-53989.073007	1005.818009	-29744.820000	0.000000	0.000000	6.012876	0.069691	NaN	0.000000	0.001559	0.001743	28.081441	0.053008	0.001171	45.259466	115.297570	13.030539	0.082751	0.011171	-1.057357	-1.058789	0.069691	45.259466	-1.058512	-1.389394E+14	-5.015920E-16	NaN
462.000000	1.000000	0.014536	7369576.117666	-53989.073000	1005.818000	-29744.820000	0.000000	0.000000	6.014807	0.008021	NaN	0.000000	0.001550	0.001776	28.081416	0.056255	0.001717	32.763224	5.972365	-166.525605	0.065980	0.013368	-1.055424	-1.056593	0.008021	32.763224	-1.055608	-1.269954E+14	-6.315638E-17	NaN
462.000000	1.000000	0.016477	7369576.127666	-53989.073000	1005.818000	-29744.820000	0.000000	0.000000	6.016746	-0.022339	NaN	0.000000	0.001531	0.001769	28.081321	0.042897	0.001728	24.819185	28.976495	12.043088	-0.024081	0.015123	-1.053484	-1.054837	-0.022339	24.819185	-1.052809	-1.164575E+14	1.918203E-16	NaN
462.000000	1.000000	0.018513	7369576.137666	-53989.073000	1005.818000	-29744.820000	0.000000	0.000000	6.018782	-0.023150	NaN	0.000000	0.001530	0.001773	28.081334	0.110909	0.001675	66.229088	137.487048	-167.013871	-0.017997	0.017163	-1.051447	-1.052797	-0.023150	66.229088	-1.051185	-1.107500E+14	2.090291E-16	NaN
462.000000	1.000000	0.020466	7369576.147666	-53989.072971	1005.817971	-29744.819976	0.000000	0.000000	6.020734	-0.032904	NaN	0.000000	0.001546	0.001779	28.081692	0.160452	0.001775	90.415948	109.070398	11.130487	-0.020757	0.019148	-1.049495	-1.050812	-0.032904	90.415948	-1.049222	-1.042207E+14	3.157159E-16	NaN
462.000000	1.000000	0.022498	7369576.157666	-53989.072439	1005.817433	-29744.819432	0.000000	0.000000	6.022767	-0.025278	NaN	0.000000	0.001545	0.001771	28.081360	0.033774	0.001645	20.531239	117.263170	-167.133453	-0.035641	0.021135	-1.047462	-1.048825	-0.025278	20.531239	-1.046539	-9.591514E+13	2.635498E-16	NaN
462.000000	1.000000	0.024485	7369576.167666	-53989.072653	1005.817602	-29744.818980	0.000000	0.000000	6.024754	-0.027842	NaN	0.000000	0.001532	0.001768	28.081372	0.034728	0.001631	21.290613	43.171362	12.567954	0.009612	0.023139	-1.045475	-1.046821	-0.027842	21.290613	-1.044494	-9.003163E+13	3.092485E-16	NaN
462.000000	1.000000	0.026510	7369576.177666	-53989.073563	1005.817993	-29744.818429	0.000000	0.000000	6.026781	0.010870	NaN	0.000000	0.001523	0.001773	28.081446	0.062415	0.001844	33.842695	170.868906	-167.298891	-0.047633	0.025163	-1.043450	-1.044797	0.010870	33.842695	-1.043691	-8.782013E+13	-1.237752E-16	NaN
462.000000	1.000000	0.028473	7369576.187666	-53989.073991	1005.817976	-29744.818575	0.000000	0.000000	6.028745	0.065489	NaN	0.000000	0.001529	0.001796	28.081325	0.069600	0.001909	36.466340	-151.043891	14.832645	0.110356	0.027134	-1.041488	-1.042826	0.065489	36.466340	-1.042835	-8.552278E+13	-7.657534E-16	NaN
462.000000	1.000000	0.030463	7369576.197666	-53989.074000	1005.817432	-29744.819040	0.000000	0.000000	6.030737	0.094211	NaN	0.000000	0.001542	0.001774	28.081396	0.026320	0.001897	13.872603	-118.382490	-164.640563	0.030458	0.029178	-1.039497	-1.040782	0.094211	13.872603	-1.044590	-9.030041E+13	-1.043309E-15	NaN
462.000000	1.000000	0.032466	7369576.207666	-53989.074000	1005.817038	-29744.820089	0.000000	0.000000	6.032736	-0.001168	NaN	0.000000	0.001533	0.001757	28.081638	0.058542	0.001856	31.543545	-130.333708	15.861940	0.076967	0.031115	-1.037494	-1.038845	-0.001168	31.543545	-1.037466	-7.242659E+13	1.612384E-17	NaN
462.000000	1.000000	0.034488	7369576.217666	-53989.074000	1005.817619	-29744.819846	0.000000	0.000000	6.034759	0.018048	NaN	0.000000	0.001507	0.001788	28.081920	0.086937	0.001851	46.962339	-138.314943	-168.141043	0.014182	0.033141	-1.035472	-1.036819	0.018048	46.962339	-1.035761	-6.870017E+13	-2.626996E-16	NaN
