																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
215.000000	1.000000	0.002035	7367147.997666	-49389.072199	955.818445	-29759.550031	0.000000	0.000000	6.002834	0.114196	NaN	0.000000	0.001693	0.001686	28.078399	0.074766	0.001042	71.718621	-158.980467	-167.900733	0.156712	0.000733	-1.120924	-1.122226	0.114196	71.718621	-1.122118	-9.928753E+14	-1.150154E-16	NaN
215.000000	1.000000	0.004017	7367148.007666	-49389.072962	955.818577	-29759.550541	0.000000	0.000000	6.004813	0.041616	NaN	0.000000	0.001672	0.001695	28.077993	0.049082	0.001010	48.605795	-107.294473	12.885955	0.078374	0.002697	-1.118942	-1.120262	0.041616	48.605795	-1.119584	-9.181029E+14	-4.532814E-17	NaN
215.000000	1.000000	0.005970	7367148.017666	-49389.072432	955.818991	-29759.550989	0.000000	0.000000	6.006766	0.039035	NaN	0.000000	0.001665	0.001704	28.078088	0.027124	0.000971	27.929541	-148.151304	-171.019009	0.000788	0.004727	-1.116989	-1.118233	0.039035	27.929541	-1.118038	-8.752703E+14	-4.459749E-17	NaN
215.000000	1.000000	0.007952	7367148.027666	-49389.072038	955.819000	-29759.550980	0.000000	0.000000	6.008748	0.036362	NaN	0.000000	0.001662	0.001696	28.078128	0.044986	0.001000	45.006887	-36.681172	18.950567	0.051378	0.006571	-1.115007	-1.116388	0.036362	45.006887	-1.115613	-8.120983E+14	-4.477545E-17	NaN
215.000000	1.000000	0.009986	7367148.037666	-49389.072561	955.819024	-29759.550459	0.000000	0.000000	6.010782	0.035404	NaN	0.000000	0.001696	0.001696	28.078052	0.037726	0.000996	37.868344	-0.335604	-161.077232	0.059115	0.008679	-1.112973	-1.114280	0.035404	37.868344	-1.113674	-7.648745E+14	-4.628673E-17	NaN
215.000000	1.000000	0.012096	7367148.047666	-49389.072391	955.819520	-29759.550011	0.000000	0.000000	6.012892	0.046022	NaN	0.000000	0.001712	0.001682	28.077946	0.075254	0.001227	61.315975	48.710016	16.383349	0.017551	0.010577	-1.110863	-1.112382	0.046022	61.315975	-1.111426	-7.135587E+14	-6.449675E-17	NaN
215.000000	1.000000	0.013987	7367148.057666	-49389.072547	955.818883	-29759.550000	0.000000	0.000000	6.014781	0.012350	NaN	0.000000	0.001731	0.001697	28.078148	0.062961	0.001726	36.470750	172.189493	-167.180396	0.061706	0.012904	-1.108972	-1.110055	0.012350	36.470750	-1.109226	-6.666629E+14	-1.852538E-17	NaN
215.000000	1.000000	0.015967	7367148.067666	-49389.072989	955.818613	-29759.550000	0.000000	0.000000	6.016765	0.088623	NaN	0.000000	0.001735	0.001692	28.078325	0.052315	0.001838	28.468510	165.274932	13.975893	0.040523	0.014533	-1.106992	-1.108426	0.088623	28.468510	-1.109327	-6.687321E+14	-1.325239E-16	NaN
215.000000	1.000000	0.017957	7367148.077666	-49389.072942	955.818993	-29759.549980	0.000000	0.000000	6.018754	0.068912	NaN	0.000000	0.001738	0.001702	28.078013	0.042483	0.001814	23.420575	-95.961470	-165.493658	0.119530	0.016696	-1.105002	-1.106264	0.068912	23.420575	-1.107209	-6.263617E+14	-1.100195E-16	NaN
215.000000	1.000000	0.019975	7367148.087666	-49389.071833	955.819000	-29759.549499	0.000000	0.000000	6.020771	0.057561	NaN	0.000000	0.001732	0.001708	28.077992	0.057152	0.001806	31.642809	-29.080426	14.288563	0.071463	0.018578	-1.102984	-1.104381	0.057561	31.642809	-1.104349	-5.733779E+14	-1.003892E-16	NaN
215.000000	1.000000	0.021979	7367148.097666	-49389.071611	955.818976	-29759.550073	0.000000	0.000000	6.022777	0.076638	NaN	0.000000	0.001680	0.001707	28.077990	0.040809	0.001726	23.648919	-20.929989	-168.769603	0.040399	0.020682	-1.100980	-1.102277	0.076638	23.648919	-1.103410	-5.569858E+14	-1.375933E-16	NaN
