																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
77.000000	1.000000	0.002182	7365794.617666	-42489.072405	955.818009	-29783.060000	0.000000	0.000000	6.002793	-0.113680	NaN	0.000000	0.001608	0.001723	28.109839	0.085927	0.000953	90.144109	30.314689	-174.602149	-0.079771	0.000996	-0.742057	-0.743243	-0.113680	90.144109	-0.741111	-7.115231E+9	1.597699E-11	NaN
77.000000	1.000000	0.004132	7365794.627666	-42489.072007	955.818000	-29783.060000	0.000000	0.000000	6.004747	-0.033250	NaN	0.000000	0.001616	0.001732	28.121576	0.026486	0.001031	25.693793	-165.871699	9.980993	-0.095624	0.002781	-0.740107	-0.741458	-0.033250	25.693793	-0.739136	-6.687864E+9	4.971618E-12	NaN
77.000000	1.000000	0.006175	7365794.637666	-42489.072016	955.818000	-29783.060020	0.000000	0.000000	6.006790	-0.000658	NaN	0.000000	0.001605	0.001719	28.083235	0.081905	0.001020	80.265560	104.282170	-172.951224	0.034698	0.004845	-0.738064	-0.739394	-0.000658	80.265560	-0.738058	-6.465486E+9	1.017028E-13	NaN
77.000000	1.000000	0.008142	7365794.647666	-42489.072494	955.818016	-29783.060541	0.000000	0.000000	6.008755	-0.063988	NaN	0.000000	0.001610	0.001680	28.078452	0.078963	0.001106	71.411238	40.578282	8.193347	-0.027566	0.006837	-0.736096	-0.737401	-0.063988	71.411238	-0.735424	-5.952828E+9	1.074916E-11	NaN
77.000000	1.000000	0.010107	7365794.657666	-42489.072474	955.818534	-29783.060989	0.000000	0.000000	6.010723	0.008196	NaN	0.000000	0.001627	0.001682	28.110036	0.031734	0.001164	27.267184	128.031143	-165.985393	-0.042106	0.008804	-0.734132	-0.735434	0.008196	27.267184	-0.734357	-5.756887E+9	-1.423747E-12	NaN
77.000000	1.000000	0.012239	7365794.667666	-42489.072573	955.819480	-29783.060980	0.000000	0.000000	6.012853	-0.044203	NaN	0.000000	0.001618	0.001663	28.121750	0.097516	0.001371	71.107107	177.512199	12.253558	0.031373	0.010723	-0.732000	-0.733515	-0.044203	71.107107	-0.731533	-5.268736E+9	8.389648E-12	NaN
77.000000	1.000000	0.014192	7365794.677666	-42489.071998	955.818852	-29783.060479	0.000000	0.000000	6.014804	-0.101096	NaN	0.000000	0.001598	0.001650	28.083525	0.058152	0.001706	34.083762	158.694507	-162.409467	-0.135746	0.013048	-0.730047	-0.731190	-0.101096	34.083762	-0.727822	-4.689454E+9	2.155814E-11	NaN
77.000000	1.000000	0.016140	7365794.687666	-42489.072025	955.818037	-29783.060536	0.000000	0.000000	6.016753	-0.071484	NaN	0.000000	0.001613	0.001658	28.079036	0.015827	0.001715	9.229973	-146.943269	15.744027	-0.087879	0.014790	-0.728098	-0.729449	-0.071484	9.229973	-0.722290	-3.941825E+9	1.813480E-11	NaN
77.000000	1.000000	0.018167	7365794.697666	-42489.072407	955.818541	-29783.060492	0.000000	0.000000	6.018782	-0.029852	NaN	0.000000	0.001605	0.001684	28.110432	0.157202	0.001758	89.404722	-28.754195	-167.577424	-0.046294	0.016803	-0.726071	-0.727435	-0.029852	89.404722	-0.725821	-4.403967E+9	6.778464E-12	NaN
