																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
64.000000	1.000000	0.002617	7365666.847333	-41839.072989	955.818013	-29785.457016	0.000000	0.000000	6.002796	-0.026470	NaN	0.000000	0.001571	0.001651	28.087653	0.189274	0.000888	213.126650	-135.095707	-171.054000	0.045445	0.001420	-1.076549	-1.077746	-0.026470	213.126650	-1.076456	-2.420566E+14	1.093546E-16	NaN
64.000000	1.000000	0.004541	7365666.857333	-41839.073000	955.818000	-29785.457000	0.000000	0.000000	6.004720	-0.039128	NaN	0.000000	0.001573	0.001664	28.082732	0.063700	0.000967	65.907413	-124.982030	4.921833	-0.041100	0.003231	-1.074625	-1.075934	-0.039128	65.907413	-1.074179	-2.255981E+14	1.734413E-16	NaN
64.000000	1.000000	0.006622	7365666.867333	-41839.072980	955.818000	-29785.457000	0.000000	0.000000	6.006803	-0.003351	NaN	0.000000	0.001590	0.001664	28.113232	0.043945	0.001055	41.673970	-105.544007	-164.220848	-0.045587	0.005204	-1.072543	-1.073961	-0.003351	41.673970	-1.072483	-2.140669E+14	1.565347E-17	NaN
64.000000	1.000000	0.008592	7365666.877333	-41839.072459	955.818016	-29785.456984	0.000000	0.000000	6.008772	-0.015855	NaN	0.000000	0.001602	0.001667	28.127080	0.104731	0.000983	106.539633	-81.045600	12.449339	0.056678	0.007255	-1.070573	-1.071910	-0.015855	106.539633	-1.070462	-2.010912E+14	7.884246E-17	NaN
64.000000	1.000000	0.010599	7365666.887333	-41839.072035	955.818514	-29785.456486	0.000000	0.000000	6.010777	-0.054027	NaN	0.000000	0.001577	0.001671	28.087341	0.097196	0.000983	98.851321	-113.571559	-166.661198	-0.052933	0.009311	-1.068567	-1.069855	-0.054027	98.851321	-1.068157	-1.872539E+14	2.885210E-16	NaN
64.000000	1.000000	0.012698	7365666.897333	-41839.072568	955.818967	-29785.456030	0.000000	0.000000	6.012876	-0.069656	NaN	0.000000	0.001563	0.001667	28.082405	0.034128	0.001182	28.862225	-143.888009	17.827415	-0.073506	0.011225	-1.066468	-1.067940	-0.069656	28.862225	-1.064658	-1.680385E+14	4.145238E-16	NaN
64.000000	1.000000	0.014605	7365666.907333	-41839.072991	955.818459	-29785.456514	0.000000	0.000000	6.014783	-0.065015	NaN	0.000000	0.001568	0.001667	28.112919	0.046518	0.001718	27.071755	-105.363866	-166.523929	-0.087700	0.013484	-1.064561	-1.065682	-0.065015	27.071755	-1.062759	-1.584541E+14	4.103059E-16	NaN
64.000000	1.000000	0.016584	7365666.917333	-41839.072976	955.818011	-29785.456987	0.000000	0.000000	6.016762	-0.061331	NaN	0.000000	0.001554	0.001644	28.126837	0.075504	0.001716	44.010695	-102.964389	13.870573	-0.086562	0.015217	-1.062582	-1.063949	-0.061331	44.010695	-1.061536	-1.525698E+14	4.019893E-16	NaN
64.000000	1.000000	0.018578	7365666.927333	-41839.072432	955.818020	-29785.457000	0.000000	0.000000	6.018758	-0.039866	NaN	0.000000	0.001541	0.001650	28.088046	0.058081	0.001708	34.012843	-4.313942	-165.330532	-0.011130	0.017273	-1.060587	-1.061892	-0.039866	34.012843	-1.059708	-1.441787E+14	2.765019E-16	NaN
