																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
23.000000	1.000000	0.002697	7365263.637333	-39789.072037	955.818061	-29793.238486	0.000000	0.000000	6.002826	0.073370	NaN	0.000000	0.001540	0.001695	28.082821	0.038879	0.000981	39.632118	80.653394	-162.971208	0.014946	0.001404	-1.098859	-1.100152	0.073370	39.632118	-1.100247	-5.051075E+14	-1.452570E-16	NaN
23.000000	1.000000	0.004684	7365263.647333	-39789.072544	955.819042	-29793.238527	0.000000	0.000000	6.004810	0.042967	NaN	0.000000	0.001540	0.001675	28.092054	0.068405	0.000996	68.645350	-63.835045	16.707294	0.105533	0.003357	-1.096872	-1.098199	0.042967	68.645350	-1.097342	-4.617262E+14	-9.305827E-17	NaN
23.000000	1.000000	0.006662	7365263.657333	-39789.072423	955.818912	-29793.238973	0.000000	0.000000	6.006787	0.018344	NaN	0.000000	0.001540	0.001664	28.131354	0.185520	0.000886	209.393875	-145.081606	-165.453861	0.010937	0.005337	-1.094894	-1.096219	0.018344	209.393875	-1.094960	-4.289526E+14	-4.276577E-17	NaN
23.000000	1.000000	0.008647	7365263.667333	-39789.072009	955.818535	-29793.238527	0.000000	0.000000	6.008769	-0.062014	NaN	0.000000	0.001547	0.001647	28.108135	0.104772	0.001034	101.283562	-164.694122	16.639021	0.033644	0.007316	-1.092909	-1.094239	-0.062014	101.283562	-1.092450	-3.969266E+14	1.562347E-16	NaN
23.000000	1.000000	0.010646	7365263.677333	-39789.072016	955.818987	-29793.238503	0.000000	0.000000	6.010769	-0.032638	NaN	0.000000	0.001563	0.001655	28.081645	0.111497	0.001061	105.113032	-0.600649	-164.195873	-0.082385	0.009300	-1.090910	-1.092256	-0.032638	105.113032	-1.090678	-3.757593E+14	8.685918E-17	NaN
23.000000	1.000000	0.012760	7365263.687333	-39789.072514	955.819000	-29793.238984	0.000000	0.000000	6.012884	-0.032669	NaN	0.000000	0.001539	0.001635	28.091290	0.085325	0.001291	66.075727	-25.219261	22.981997	-0.020138	0.011353	-1.088796	-1.090202	-0.032669	66.075727	-1.088425	-3.504786E+14	9.321116E-17	NaN
23.000000	1.000000	0.014681	7365263.697333	-39789.072987	955.818980	-29793.239000	0.000000	0.000000	6.014806	-0.010715	NaN	0.000000	0.001515	0.001644	28.130987	0.122503	0.001826	67.103927	-156.496016	-161.954574	-0.062062	0.013513	-1.086875	-1.088043	-0.010715	67.103927	-1.086755	-3.328425E+14	3.219215E-17	NaN
23.000000	1.000000	0.016648	7365263.707333	-39789.073000	955.818459	-29793.238984	0.000000	0.000000	6.016773	-0.007493	NaN	0.000000	0.001528	0.001674	28.108437	0.060402	0.001721	35.104844	-82.031296	16.044355	0.038289	0.015272	-1.084908	-1.086284	-0.007493	35.104844	-1.084748	-3.128134E+14	2.395319E-17	NaN
23.000000	1.000000	0.018658	7365263.717333	-39789.073000	955.818027	-29793.238486	0.000000	0.000000	6.018784	0.023237	NaN	0.000000	0.001549	0.001676	28.082496	0.068553	0.001727	39.705590	29.232999	-163.945752	-0.007796	0.017355	-1.082898	-1.084201	0.023237	39.705590	-1.083337	-2.994547E+14	-7.759927E-17	NaN
23.000000	1.000000	0.020639	7365263.727333	-39789.072987	955.818514	-29793.238013	0.000000	0.000000	6.020765	0.013778	NaN	0.000000	0.001531	0.001671	28.092075	0.093859	0.001832	51.233459	53.203798	15.665493	0.064215	0.019293	-1.080917	-1.082263	0.013778	51.233459	-1.081118	-2.796015E+14	-4.927850E-17	NaN
23.000000	1.000000	0.022653	7365263.737333	-39789.072534	955.818970	-29793.238013	0.000000	0.000000	6.022777	-0.023578	NaN	0.000000	0.001544	0.001683	28.131144	0.055506	0.001746	31.788733	166.581165	-164.164215	0.027197	0.021339	-1.078903	-1.080217	-0.023578	31.788733	-1.078346	-2.566308E+14	9.187564E-17	NaN
