																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
327.000000	1.000000	0.002801	7368262.747666	-54989.071995	955.818993	-29742.701000	0.000000	0.000000	6.002780	-0.026212	NaN	0.000000	0.001590	0.001604	28.080679	0.160908	0.000955	168.423755	-169.029847	-162.322617	-0.033336	0.001576	-1.153990	-1.155214	-0.026212	168.423755	-1.153873	-2.646904E+15	9.902827E-18	NaN
327.000000	1.000000	0.004817	7368262.757666	-54989.072000	955.818976	-29742.701020	0.000000	0.000000	6.004796	-0.031341	NaN	0.000000	0.001603	0.001591	28.080651	0.052689	0.000978	53.887549	-40.417238	17.552476	0.003965	0.003412	-1.151973	-1.153378	-0.031341	53.887549	-1.151537	-2.462745E+15	1.272624E-17	NaN
327.000000	1.000000	0.006789	7368262.767666	-54989.072029	955.818456	-29742.701521	0.000000	0.000000	6.006768	-0.034445	NaN	0.000000	0.001597	0.001598	28.080362	0.015604	0.000922	16.925939	-96.602129	-165.381618	-0.074155	0.005548	-1.150001	-1.151243	-0.034445	16.925939	-1.148475	-2.240634E+15	1.537279E-17	NaN
327.000000	1.000000	0.008781	7368262.777666	-54989.072538	955.818577	-29742.701448	0.000000	0.000000	6.008761	-0.017343	NaN	0.000000	0.001592	0.001613	28.080392	0.037154	0.000993	37.398804	-165.901398	10.595706	-0.001424	0.007405	-1.148009	-1.149385	-0.017343	37.398804	-1.147661	-2.185048E+15	7.937249E-18	NaN
327.000000	1.000000	0.010790	7368262.787666	-54989.071871	955.818967	-29742.701031	0.000000	0.000000	6.010768	-0.049296	NaN	0.000000	0.001608	0.001620	28.080488	0.100198	0.000992	100.960968	-157.686407	-171.362839	-0.012581	0.009473	-1.146001	-1.147317	-0.049296	100.960968	-1.145634	-2.052530E+15	2.401714E-17	NaN
327.000000	1.000000	0.012892	7368262.797666	-54989.072258	955.818403	-29742.701541	0.000000	0.000000	6.012872	-4.349827E-5	NaN	0.000000	0.001599	0.001594	28.080674	0.110381	0.001332	82.877805	168.344868	17.758551	-0.050047	0.011451	-1.143899	-1.145339	-4.349827E-5	82.877805	-1.143898	-1.945411E+15	2.235943E-20	NaN
327.000000	1.000000	0.014814	7368262.807666	-54989.072960	955.817437	-29742.701969	0.000000	0.000000	6.014795	0.021002	NaN	0.000000	0.001608	0.001602	28.080546	0.110252	0.001709	64.527069	88.448438	-163.376140	0.013090	0.013670	-1.141976	-1.143120	0.021002	64.527069	-1.142220	-1.847180E+15	-1.136987E-17	NaN
327.000000	1.000000	0.016792	7368262.817666	-54989.072385	955.817633	-29742.701459	0.000000	0.000000	6.016773	0.018483	NaN	0.000000	0.001632	0.001617	28.080965	0.030274	0.001747	17.333312	11.420769	16.169338	-0.002824	0.015453	-1.139998	-1.141337	0.018483	17.333312	-1.140798	-1.767829E+15	-1.045543E-17	NaN
327.000000	1.000000	0.018800	7368262.827666	-54989.071500	955.819153	-29742.701011	0.000000	0.000000	6.018778	-0.034802	NaN	0.000000	0.001623	0.001619	28.080330	0.057354	0.001825	31.423908	13.299442	-165.902173	0.003318	0.017473	-1.137991	-1.139317	-0.034802	31.423908	-1.137160	-1.579981E+15	2.202657E-17	NaN
327.000000	1.000000	0.020762	7368262.837666	-54989.071604	955.819415	-29742.701024	0.000000	0.000000	6.020743	0.015507	NaN	0.000000	0.001630	0.001669	28.080274	0.060638	0.001737	34.900582	23.681548	16.749766	-0.061828	0.019438	-1.136028	-1.137352	0.015507	34.900582	-1.136361	-1.541477E+15	-1.005960E-17	NaN
327.000000	1.000000	0.022788	7368262.847666	-54989.071399	955.819575	-29742.701544	0.000000	0.000000	6.022769	0.034906	NaN	0.000000	0.001602	0.001650	28.080295	0.063725	0.001626	39.198855	-118.361843	-164.499569	0.052053	0.021443	-1.134003	-1.135347	0.034906	39.198855	-1.134670	-1.463068E+15	-2.385806E-17	NaN
