																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
182.000000	1.000000	0.002452	7366821.647666	-47739.073116	955.818976	-29765.300031	0.000000	0.000000	6.002814	0.054428	NaN	0.000000	0.001566	0.001721	28.078117	0.089801	0.000913	98.408989	-91.430795	-169.011776	0.086521	0.001169	-1.076571	-1.077854	0.054428	98.408989	-1.076986	-2.460581E+14	-2.212015E-16	NaN
182.000000	1.000000	0.004389	7366821.657666	-47739.073332	955.818407	-29765.300521	0.000000	0.000000	6.004752	0.110087	NaN	0.000000	0.001594	0.001696	28.077898	0.079664	0.000900	88.494384	-20.191290	11.094073	0.039483	0.003110	-1.074635	-1.075913	0.110087	88.494384	-1.075568	-2.354984E+14	-4.674658E-16	NaN
182.000000	1.000000	0.006404	7366821.667666	-47739.072410	955.817440	-29765.300472	0.000000	0.000000	6.006770	0.148965	NaN	0.000000	0.001587	0.001699	28.077778	0.038343	0.000902	42.519562	131.513917	-167.061937	0.169066	0.005062	-1.072619	-1.073961	0.148965	42.519562	-1.075247	-2.331707E+14	-6.388666E-16	NaN
182.000000	1.000000	0.008396	7366821.677666	-47739.072065	955.817009	-29765.300619	0.000000	0.000000	6.008758	0.080018	NaN	0.000000	0.001623	0.001694	28.077854	0.020669	0.001012	20.417981	57.957548	4.636683	0.137494	0.007078	-1.070628	-1.071946	0.080018	20.417981	-1.073567	-2.213655E+14	-3.614737E-16	NaN
182.000000	1.000000	0.010393	7366821.687666	-47739.073133	955.817000	-29765.302054	0.000000	0.000000	6.010756	0.094108	NaN	0.000000	0.001625	0.001696	28.077823	0.084537	0.001028	82.232840	60.519924	-159.525187	0.048062	0.009052	-1.068630	-1.069971	0.094108	82.232840	-1.069488	-1.951268E+14	-4.822940E-16	NaN
182.000000	1.000000	0.012531	7366821.697666	-47739.072796	955.817048	-29765.302417	0.000000	0.000000	6.012890	-0.001681	NaN	0.000000	0.001614	0.001726	28.077988	0.041065	0.001294	31.742989	32.329262	17.992376	0.066611	0.011035	-1.066492	-1.067989	-0.001681	31.742989	-1.066453	-1.776347E+14	9.465796E-18	NaN
182.000000	1.000000	0.014430	7366821.707666	-47739.072043	955.818113	-29765.301470	0.000000	0.000000	6.014789	-0.012390	NaN	0.000000	0.001616	0.001729	28.078339	0.111007	0.001824	60.863164	-93.771822	-165.167521	-0.022172	0.013302	-1.064593	-1.065722	-0.012390	60.863164	-1.064441	-1.669138E+14	7.422714E-17	NaN
182.000000	1.000000	0.016395	7366821.717666	-47739.072595	955.818454	-29765.301051	0.000000	0.000000	6.016758	0.093451	NaN	0.000000	0.001602	0.001739	28.078437	0.063644	0.001702	37.400465	-112.010041	10.986368	0.073851	0.015012	-1.062628	-1.064011	0.093451	37.400465	-1.064502	-1.672336E+14	-5.588055E-16	NaN
182.000000	1.000000	0.018409	7366821.727666	-47739.072993	955.819062	-29765.302058	0.000000	0.000000	6.018770	0.037540	NaN	0.000000	0.001586	0.001738	28.078028	0.033903	0.001737	19.513990	145.056214	-164.136832	0.055581	0.017039	-1.060614	-1.061984	0.037540	19.513990	-1.062057	-1.550483E+14	-2.421206E-16	NaN
182.000000	1.000000	0.020391	7366821.737666	-47739.072971	955.819359	-29765.302410	0.000000	0.000000	6.020752	0.033998	NaN	0.000000	0.001596	0.001749	28.077878	0.029122	0.001657	17.580236	-16.565444	17.840369	0.022385	0.019050	-1.058633	-1.059973	0.033998	17.580236	-1.060083	-1.458598E+14	-2.330892E-16	NaN
182.000000	1.000000	0.022395	7366821.747666	-47739.072439	955.818438	-29765.302029	0.000000	0.000000	6.022758	0.080710	NaN	0.000000	0.001618	0.001777	28.077918	0.085745	0.001806	47.476993	-32.559003	-165.455178	0.033426	0.021112	-1.056628	-1.057911	0.080710	47.476993	-1.057903	-1.363458E+14	-5.919485E-16	NaN
182.000000	1.000000	0.024389	7366821.757666	-47739.072629	955.817980	-29765.302565	0.000000	0.000000	6.024752	0.088220	NaN	0.000000	0.001612	0.001770	28.077975	0.090668	0.001719	52.730566	-71.575615	17.440871	0.099594	0.023030	-1.054635	-1.055994	0.088220	52.730566	-1.055889	-1.281082E+14	-6.886357E-16	NaN
182.000000	1.000000	0.026443	7366821.767666	-47739.072971	955.817405	-29765.303538	0.000000	0.000000	6.026810	0.185242	NaN	0.000000	0.001614	0.001740	28.078001	0.060762	0.001922	31.613305	133.684628	-165.955478	0.070914	0.025111	-1.052580	-1.053913	0.185242	31.613305	-1.056975	-1.324853E+14	-1.398210E-15	NaN
182.000000	1.000000	0.028417	7366821.777666	-47739.072460	955.817031	-29765.303450	0.000000	0.000000	6.028783	0.172140	NaN	0.000000	0.001623	0.001699	28.078078	0.085929	0.001967	43.694859	152.903850	15.882979	0.194369	0.027075	-1.050607	-1.051949	0.172140	43.694859	-1.053562	-1.192034E+14	-1.444082E-15	NaN
182.000000	1.000000	0.030362	7366821.787666	-47739.072575	955.817568	-29765.303011	0.000000	0.000000	6.030724	0.056611	NaN	0.000000	0.001657	0.001693	28.077939	0.138229	0.001969	70.186636	72.303206	-165.100034	0.147057	0.029096	-1.048661	-1.049927	0.056611	70.186636	-1.049266	-1.043638E+14	-5.424397E-16	NaN
182.000000	1.000000	0.032411	7366821.797666	-47739.072398	955.818015	-29765.303000	0.000000	0.000000	6.032772	0.026811	NaN	0.000000	0.001640	0.001691	28.077970	0.060764	0.001953	31.117068	64.797357	12.778127	0.036790	0.031001	-1.046612	-1.048022	0.026811	31.117068	-1.047258	-9.807513E+13	-2.733671E-16	NaN
182.000000	1.000000	0.034365	7366821.807666	-47739.072031	955.818544	-29765.303020	0.000000	0.000000	6.034725	0.008066	NaN	0.000000	0.001618	0.001700	28.078077	0.029002	0.002001	14.491462	-64.780502	-164.126188	-0.015037	0.033103	-1.044658	-1.045921	0.008066	14.491462	-1.045076	-9.166659E+13	-8.799333E-17	NaN
182.000000	1.000000	0.036362	7366821.817666	-47739.072568	955.818423	-29765.303541	0.000000	0.000000	6.036724	0.085248	NaN	0.000000	0.001602	0.001721	28.078350	0.044448	0.001919	23.159874	-94.005319	15.693321	0.102466	0.034993	-1.042662	-1.044031	0.085248	23.159874	-1.045423	-9.265672E+13	-9.200427E-16	NaN
182.000000	1.000000	0.038406	7366821.827666	-47739.072991	955.818009	-29765.303989	0.000000	0.000000	6.038768	0.063730	NaN	0.000000	0.001602	0.001720	28.078072	0.112756	0.001900	59.334963	-129.356970	-165.256387	0.081279	0.037094	-1.040618	-1.041930	0.063730	59.334963	-1.041423	-8.186591E+13	-7.784711E-16	NaN
182.000000	1.000000	0.040403	7366821.837666	-47739.073000	955.818000	-29765.304000	0.000000	0.000000	6.040762	-0.013130	NaN	0.000000	0.001590	0.001700	28.078086	0.181209	0.001998	90.716286	131.908880	12.551954	0.066013	0.039086	-1.038621	-1.039938	-0.013130	90.716286	-1.038512	-7.480974E+13	1.755102E-16	NaN
182.000000	1.000000	0.042415	7366821.847666	-47739.072966	955.818024	-29765.304000	0.000000	0.000000	6.042772	-0.047873	NaN	0.000000	0.001567	0.001703	28.078033	0.103624	0.001947	53.222464	-174.838317	-168.295235	-0.053090	0.041101	-1.036608	-1.037922	-0.047873	53.222464	-1.035934	-6.906950E+13	6.931095E-16	NaN
182.000000	1.000000	0.044409	7366821.857666	-47739.072378	955.818568	-29765.304000	0.000000	0.000000	6.044768	-0.007971	NaN	0.000000	0.001596	0.001697	28.077886	0.033399	0.001901	17.570261	-88.054508	14.212084	-0.001233	0.043034	-1.034614	-1.035990	-0.007971	17.570261	-1.034274	-6.560923E+13	1.214906E-16	NaN
182.000000	1.000000	0.046361	7366821.867666	-47739.072034	955.818967	-29765.304020	0.000000	0.000000	6.046724	0.080339	NaN	0.000000	0.001614	0.001682	28.077817	0.049215	0.002016	24.413689	72.527768	-166.879183	-0.028941	0.045073	-1.032662	-1.033951	0.080339	24.413689	-1.035131	-6.737281E+13	-1.192453E-15	NaN
182.000000	1.000000	0.048394	7366821.877666	-47739.072571	955.818456	-29765.304541	0.000000	0.000000	6.048755	0.037927	NaN	0.000000	0.001614	0.001687	28.077849	0.030471	0.001984	15.354550	-83.843017	15.875271	0.079187	0.047020	-1.030629	-1.032003	0.037927	15.354550	-1.032482	-6.206736E+13	-6.110586E-16	NaN
182.000000	1.000000	0.050411	7366821.887666	-47739.072425	955.818553	-29765.305013	0.000000	0.000000	6.050773	0.052695	NaN	0.000000	0.001634	0.001675	28.078420	0.044298	0.001989	22.271935	171.679383	-163.187368	0.025681	0.049114	-1.028612	-1.029909	0.052695	22.271935	-1.030387	-5.816785E+13	-9.059079E-16	NaN
182.000000	1.000000	0.052400	7366821.897666	-47739.072009	955.818394	-29765.305544	0.000000	0.000000	6.052762	0.073300	NaN	0.000000	0.001604	0.001686	28.079085	0.031780	0.001982	16.031190	-73.499214	16.449607	0.074841	0.051050	-1.026624	-1.027973	0.073300	16.031190	-1.030053	-5.756976E+13	-1.273231E-15	NaN
182.000000	1.000000	0.054391	7366821.907666	-47739.072000	955.817413	-29765.305447	0.000000	0.000000	6.054752	0.049375	NaN	0.000000	0.001597	0.001686	28.079343	0.012053	0.002031	5.933676	89.776123	-165.814211	0.095474	0.053105	-1.024633	-1.025919	0.049375	5.933676	-1.030874	-5.905152E+13	-8.361377E-16	NaN
182.000000	1.000000	0.056396	7366821.917666	-47739.072000	955.817007	-29765.305557	0.000000	0.000000	6.056754	-0.017221	NaN	0.000000	0.001611	0.001694	28.079733	0.114650	0.001997	57.420612	64.517973	12.636339	0.010792	0.055029	-1.022628	-1.023994	-0.017221	57.420612	-1.022403	-4.542362E+13	3.791162E-16	NaN
182.000000	1.000000	0.058391	7366821.927666	-47739.072024	955.817024	-29765.305470	0.000000	0.000000	6.058751	0.021907	NaN	0.000000	0.001607	0.001695	28.079491	0.045991	0.001942	23.681761	133.320436	-165.880977	0.007728	0.057084	-1.020633	-1.021939	0.021907	23.681761	-1.021326	-4.393377E+13	-4.986346E-16	NaN
182.000000	1.000000	0.060368	7366821.937666	-47739.072568	955.817568	-29765.305552	0.000000	0.000000	6.060728	0.013397	NaN	0.000000	0.001607	0.001686	28.079568	0.030195	0.001908	15.823489	-173.976149	10.765480	0.040310	0.059027	-1.018655	-1.019996	0.013397	15.823489	-1.019290	-4.124763E+13	-3.248024E-16	NaN
182.000000	1.000000	0.062388	7366821.947666	-47739.072967	955.817991	-29765.305989	0.000000	0.000000	6.062752	0.106455	NaN	0.000000	0.001608	0.001700	28.079315	0.053814	0.002090	25.746212	170.951773	-167.026437	0.044978	0.061036	-1.016635	-1.017987	0.106455	25.746212	-1.019736	-4.182179E+13	-2.545451E-15	NaN
182.000000	1.000000	0.064401	7366821.957666	-47739.072466	955.817976	-29765.306000	0.000000	0.000000	6.064765	0.115385	NaN	0.000000	0.001623	0.001670	28.079048	0.079600	0.002060	38.642165	119.743362	12.362229	0.092130	0.062995	-1.014623	-1.016029	0.115385	38.642165	-1.016862	-3.825881E+13	-3.015907E-15	NaN
182.000000	1.000000	0.066402	7366821.967666	-47739.072631	955.817432	-29765.306000	0.000000	0.000000	6.066769	0.197922	NaN	0.000000	0.001615	0.001663	28.079090	0.041703	0.002014	20.704827	95.899288	-167.871996	0.144700	0.065083	-1.012622	-1.013941	0.197922	20.704827	-1.019791	-4.189304E+13	-4.724453E-15	NaN
182.000000	1.000000	0.068374	7366821.977666	-47739.072975	955.817038	-29765.305976	0.000000	0.000000	6.068738	0.104996	NaN	0.000000	0.001607	0.001672	28.079268	0.059809	0.002124	28.157486	-174.468974	13.416898	0.206572	0.067069	-1.010649	-1.011955	0.104996	28.157486	-1.013446	-3.441586E+13	-3.050800E-15	NaN
