																														
2025-07-22, 16:23:58, 1																														
Index	Phase	Displacement	Time	Pos X	Pos Y	Pos Z	Rot A	Rot B	Piezo Z	Force A	Force B	Gripper	Voltage A	Voltage B	Temperature	Amplitude force	Amplitude pos	Stiffness	Phase shift	Phase excitation	Force A raw	Displacement raw	HMax	HMax raw	Real Force	Real Stiffness	Contact Depth	Area	Hardness	Reduced Mod.
[#]	[#]	[um]	[s]	[um]	[um]	[um]	[m°]	[m°]	[um]	[uN]	[uN]	[V]	[V]	[V]	[°C]	[uN]	[um]	[N/m]	[°]	[°]	[uN]	[um]	[um]	[um]	[uN]	[N/m]	[um]	[um^2]	[MPa]	[MPa]
1195.000000	1.000000	0.002665	7376731.587666	-55839.072875	1105.818000	-29740.406687	0.000000	0.000000	6.002814	0.044659	NaN	0.000000	0.001536	0.001613	28.082365	0.022632	0.000878	25.783938	-74.080903	-164.743455	0.051754	0.001405	-1.085741	-1.087000	0.044659	25.783938	-1.087040	-3.357896E+14	-1.329971E-16	NaN
1195.000000	1.000000	0.004622	7376731.597666	-55839.072826	1105.818156	-29740.407000	0.000000	0.000000	6.004771	0.030381	NaN	0.000000	0.001559	0.001589	28.082474	0.097964	0.000922	106.208625	-86.917670	10.570971	0.021267	0.003271	-1.083784	-1.085135	0.030381	106.208625	-1.083998	-3.056434E+14	-9.940116E-17	NaN
1195.000000	1.000000	0.006624	7376731.607666	-55839.072298	1105.819016	-29740.407140	0.000000	0.000000	6.006770	-0.040132	NaN	0.000000	0.001542	0.001606	28.082833	0.046050	0.000890	51.749317	-80.928387	-175.625517	-0.002247	0.005301	-1.081782	-1.083105	-0.040132	51.749317	-1.081200	-2.803110E+14	1.431704E-16	NaN
1195.000000	1.000000	0.008594	7376731.617666	-55839.072876	1105.819704	-29740.407844	0.000000	0.000000	6.008741	-0.010722	NaN	0.000000	0.001555	0.001612	28.082613	0.077339	0.001014	76.235727	-141.822020	13.588546	-0.042912	0.007321	-1.079812	-1.081085	-0.010722	76.235727	-1.079707	-2.676577E+14	4.005892E-17	NaN
1195.000000	1.000000	0.010610	7376731.627666	-55839.073192	1105.818966	-29740.408000	0.000000	0.000000	6.010757	-0.005933	NaN	0.000000	0.001501	0.001601	28.082641	0.140154	0.001039	134.884918	149.302514	-168.164602	-0.017469	0.009247	-1.077796	-1.079159	-0.005933	134.884918	-1.077763	-2.520393E+14	2.353900E-17	NaN
1195.000000	1.000000	0.012704	7376731.637666	-55839.073697	1105.817951	-29740.408000	0.000000	0.000000	6.012855	0.098026	NaN	0.000000	0.001501	0.001631	28.082818	0.073568	0.001409	52.197211	-156.354875	14.923351	-0.014495	0.011247	-1.075702	-1.077159	0.098026	52.197211	-1.077110	-2.470050E+14	-3.968600E-16	NaN
1195.000000	1.000000	0.014671	7376731.647666	-55839.073110	1105.817472	-29740.408000	0.000000	0.000000	6.014819	0.009601	NaN	0.000000	0.001503	0.001626	28.082959	0.113740	0.001668	68.200735	-119.239201	-165.146019	0.134877	0.013490	-1.073735	-1.074916	0.009601	68.200735	-1.073840	-2.232434E+14	-4.300491E-17	NaN
1195.000000	1.000000	0.016608	7376731.657666	-55839.073000	1105.818751	-29740.408156	0.000000	0.000000	6.016754	-0.018369	NaN	0.000000	0.001512	0.001629	28.082547	0.115187	0.001808	63.708776	163.033929	13.093325	0.002038	0.015280	-1.071798	-1.073126	-0.018369	63.708776	-1.071582	-2.081820E+14	8.823543E-17	NaN
1195.000000	1.000000	0.018634	7376731.667666	-55839.072861	1105.818999	-29740.408860	0.000000	0.000000	6.018782	0.005515	NaN	0.000000	0.001532	0.001659	28.082562	0.111065	0.001734	64.054910	157.514232	-161.135905	-0.020750	0.017269	-1.069771	-1.071137	0.005515	64.054910	-1.069836	-1.972355E+14	-2.796281E-17	NaN
